HJD,MAG,ERR,SRV
3506.80393,0.09299999999999997,0.008,OGLE-III
3508.80036,-0.11999999999999922,0.008,OGLE-III
3509.70377,0.1529999999999987,0.009,OGLE-III
3511.69048,-0.08900000000000041,0.012,OGLE-III
3512.75366,-0.08199999999999896,0.008,OGLE-III
3517.79985,0.06299999999999883,0.013,OGLE-III
3520.8351,-0.07599999999999874,0.008,OGLE-III
3521.65426,-0.022999999999999687,0.007,OGLE-III
3522.7638,0.06700000000000017,0.01,OGLE-III
3523.79913,0.018000000000000682,0.008,OGLE-III
3524.78684,-0.12899999999999956,0.008,OGLE-III
3525.76649,-0.025000000000000355,0.008,OGLE-III
3526.85182,-0.057000000000000384,0.008,OGLE-III
3528.57043,0.10800000000000054,0.008,OGLE-III
3530.79587,-0.10899999999999999,0.007,OGLE-III
3537.76371,0.13899999999999935,0.013,OGLE-III
3538.6932,-0.03500000000000014,0.008,OGLE-III
3540.66712,-0.0030000000000001137,0.008,OGLE-III
3544.74139,-0.009999999999999787,0.008,OGLE-III
3546.86526,-0.019999999999999574,0.01,OGLE-III
3547.82554,-0.14400000000000013,0.008,OGLE-III
3550.65195,-0.10500000000000043,0.007,OGLE-III
3551.65519,0.04100000000000037,0.006,OGLE-III
3552.68876,0.14199999999999946,0.008,OGLE-III
3553.6915,0.14199999999999946,0.009,OGLE-III
3554.68001,-0.010999999999999233,0.008,OGLE-III
3555.71016,-0.07699999999999996,0.008,OGLE-III
3556.73846,-0.11099999999999888,0.008,OGLE-III
3558.57425,-0.023999999999999133,0.008,OGLE-III
3558.85157,-0.10699999999999932,0.008,OGLE-III
3559.67014,0.045999999999999375,0.008,OGLE-III
3560.62326,-0.12399999999999878,0.007,OGLE-III
3561.56356,0.15000000000000213,0.008,OGLE-III
3561.83012,0.0990000000000002,0.008,OGLE-III
3562.60767,0.16199999999999903,0.009,OGLE-III
3562.83055,-0.027999999999998693,0.008,OGLE-III
3563.65715,0.1720000000000006,0.008,OGLE-III
3564.55074,-0.10899999999999999,0.008,OGLE-III
3569.60946,0.04899999999999949,0.009,OGLE-III
3573.6781,-0.013999999999999346,0.009,OGLE-III
3573.70503,-0.07399999999999984,0.008,OGLE-III
3574.70604,0.12199999999999989,0.009,OGLE-III
3575.64492,0.05600000000000094,0.008,OGLE-III
3575.79008,0.06400000000000006,0.008,OGLE-III
3576.70739,0.045999999999999375,0.008,OGLE-III
3577.75566,0.005000000000000782,0.008,OGLE-III
3578.69235,-0.0779999999999994,0.008,OGLE-III
3579.63765,0.15700000000000003,0.008,OGLE-III
3580.6742,0.13800000000000168,0.008,OGLE-III
3581.6906,0.06099999999999994,0.008,OGLE-III
3582.61636,-0.1039999999999992,0.007,OGLE-III
3583.65294,-0.0730000000000004,0.008,OGLE-III
3584.66169,0.0710000000000015,0.008,OGLE-III
3585.65979,0.1529999999999987,0.008,OGLE-III
3586.68418,0.11599999999999966,0.008,OGLE-III
3588.74228,-0.0519999999999996,0.008,OGLE-III
3589.70362,-0.07199999999999918,0.008,OGLE-III
3590.69969,0.0710000000000015,0.008,OGLE-III
3591.49363,-0.11299999999999955,0.008,OGLE-III
3591.63914,0.0940000000000012,0.008,OGLE-III
3591.72133,0.15899999999999892,0.008,OGLE-III
3592.65615,-0.0039999999999995595,0.007,OGLE-III
3592.71053,0.10900000000000176,0.008,OGLE-III
3597.62977,0.006999999999999673,0.008,OGLE-III
3599.6466,-0.10799999999999876,0.009,OGLE-III
3601.67604,0.15399999999999991,0.009,OGLE-III
3602.67624,0.13299999999999912,0.009,OGLE-III
3603.65634,0.002000000000000668,0.008,OGLE-III
3607.65481,0.125,0.008,OGLE-III
3608.67075,0.0779999999999994,0.008,OGLE-III
3615.59807,-0.06099999999999994,0.008,OGLE-III
3618.60161,0.05600000000000094,0.008,OGLE-III
3620.56488,-0.08000000000000007,0.008,OGLE-III
3628.56691,0.1269999999999989,0.01,OGLE-III
3630.58093,-0.11399999999999899,0.008,OGLE-III
3632.60841,-0.051000000000000156,0.009,OGLE-III
3634.5118,-0.057000000000000384,0.008,OGLE-III
3639.5176,0.006999999999999673,0.008,OGLE-III
3641.56433,-0.10099999999999909,0.008,OGLE-III
3644.52913,0.08500000000000085,0.008,OGLE-III
3649.50976,0.12600000000000122,0.009,OGLE-III
3651.57063,-0.027999999999998693,0.009,OGLE-III
3654.56029,0.11899999999999977,0.013,OGLE-III
3655.53579,0.10200000000000031,0.008,OGLE-III
3657.52897,-0.09199999999999875,0.008,OGLE-III
3659.53076,0.14300000000000068,0.011,OGLE-III
3662.5353,-0.09299999999999997,0.008,OGLE-III
3665.49272,0.13500000000000156,0.01,OGLE-III
3671.50869,0.10900000000000176,0.011,OGLE-III
3777.84027,-0.10799999999999876,0.009,OGLE-III
3782.87626,-0.05299999999999905,0.008,OGLE-III
3785.83792,0.16300000000000026,0.008,OGLE-III
3788.85807,-0.11399999999999899,0.008,OGLE-III
3791.82557,0.07499999999999929,0.009,OGLE-III
3793.86771,-0.08199999999999896,0.007,OGLE-III
3795.85514,0.06099999999999994,0.009,OGLE-III
3798.81833,-0.1120000000000001,0.008,OGLE-III
3799.84249,-0.1039999999999992,0.008,OGLE-III
3800.8374,0.03300000000000125,0.009,OGLE-III
3801.89691,0.054000000000002046,0.008,OGLE-III
3802.86247,0.16300000000000026,0.009,OGLE-III
3803.89775,0.10900000000000176,0.008,OGLE-III
3805.8142,-0.027999999999998693,0.008,OGLE-III
3806.78047,0.14499999999999957,0.009,OGLE-III
3806.79367,0.1739999999999995,0.008,OGLE-III
3806.88222,-0.036999999999999034,0.008,OGLE-III
3807.79958,0.09799999999999898,0.009,OGLE-III
3807.86713,0.18200000000000216,0.008,OGLE-III
3808.80726,-0.0389999999999997,0.008,OGLE-III
3808.84446,0.05799999999999983,0.008,OGLE-III
3808.90204,0.15200000000000102,0.008,OGLE-III
3809.77007,-0.09199999999999875,0.008,OGLE-III
3809.89236,0.013999999999999346,0.008,OGLE-III
3810.76412,0.08699999999999974,0.008,OGLE-III
3810.85897,-0.10999999999999943,0.008,OGLE-III
3810.91506,-0.051000000000000156,0.009,OGLE-III
3811.78785,0.16100000000000136,0.009,OGLE-III
3811.85057,-0.017999999999998906,0.008,OGLE-III
3812.75641,0.06899999999999906,0.009,OGLE-III
3812.82916,0.18799999999999883,0.009,OGLE-III
3812.84665,0.14300000000000068,0.009,OGLE-III
3812.91573,-0.017999999999998906,0.009,OGLE-III
3813.75714,-0.06199999999999939,0.008,OGLE-III
3813.77514,-0.03399999999999892,0.008,OGLE-III
3813.78118,-0.011999999999998678,0.008,OGLE-III
3813.79266,0.009999999999999787,0.008,OGLE-III
3813.80688,0.030000000000001137,0.008,OGLE-III
3813.81303,0.05000000000000071,0.008,OGLE-III
3813.81581,0.06400000000000006,0.008,OGLE-III
3813.82813,0.08399999999999963,0.008,OGLE-III
